Customer ID,Quarter,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
0533-BNWKF,Q3,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer
0334-GDDSO,Q3,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer
5564-NEMQO,Q3,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability
6235-VDHOM,Q3,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services
5609-CEBID,Q3,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices
5956-VKDTT,Q3,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction
0257-ZESQC,Q3,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person
2865-TCHJW,Q3,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices
5192-EBGOV,Q3,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices
3419-SNJJD,Q3,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person
4554-YGZIH,Q3,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer
5099-BAILX,Q3,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer
4913-EHYUI,Q3,1,Churned,Yes,1,91,6268,Competitor,Competitor offered higher download speeds
1626-ERCMM,Q3,1,Churned,Yes,1,84,5604,Competitor,Competitor had better devices
5644-PDMZC,Q3,2,Churned,Yes,1,80,2065,Attitude,Attitude of support person
4160-AMJTL,Q3,2,Churned,Yes,1,83,5432,Attitude,Attitude of support person
0823-HSCDJ,Q3,2,Churned,Yes,1,90,5597,Competitor,Competitor made better offer
0067-DKWBL,Q3,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer
5244-IRFIH,Q3,3,Churned,Yes,1,91,4333,Other,Poor expertise of online support
2684-EIWEO,Q3,1,Churned,Yes,1,90,2482,Competitor,Competitor made better offer
6683-VLCTZ,Q3,3,Churned,Yes,1,92,5444,Competitor,Competitor made better offer
0691-IFBQW,Q3,1,Churned,Yes,1,81,2403,Competitor,Competitor made better offer
3643-AHCFP,Q3,3,Churned,Yes,1,83,3265,Competitor,Competitor made better offer
9231-ZJYAM,Q3,3,Churned,Yes,1,72,5301,Other,Moved
0727-BMPLR,Q3,3,Churned,Yes,1,83,5679,Competitor,Competitor offered higher download speeds
0947-MUGVO,Q3,1,Churned,Yes,1,95,5849,Competitor,Competitor had better devices
0781-LKXBR,Q3,1,Churned,Yes,1,70,4038,Competitor,Competitor had better devices
1907-UBQFC,Q3,1,Churned,Yes,1,91,3189,Competitor,Competitor had better devices
6513-EECDB,Q3,2,Churned,Yes,1,94,4369,Price,Price too high
7074-IEVOJ,Q3,1,Churned,Yes,1,91,3501,Dissatisfaction,Product dissatisfaction
4750-ZRXIU,Q3,1,Churned,Yes,1,83,2467,Competitor,Competitor had better devices
7028-DVOIQ,Q3,1,Churned,Yes,1,82,2074,Other,Don't know
4208-UFFGW,Q3,2,Churned,Yes,1,84,5900,Other,Don't know
9889-TMAHG,Q3,1,Churned,Yes,1,74,5084,Competitor,Competitor had better devices
8919-FYFQZ,Q3,1,Churned,Yes,1,96,4829,Competitor,Competitor had better devices
6646-QVXLR,Q3,1,Churned,Yes,1,91,5052,Competitor,Competitor had better devices
9369-XFEHK,Q3,2,Churned,Yes,1,72,3601,Competitor,Competitor offered more data
1374-DMZUI,Q3,2,Churned,Yes,1,91,5419,Competitor,Competitor made better offer
1989-PRJHP,Q3,1,Churned,Yes,1,65,2377,Competitor,Competitor had better devices
4822-RVYBB,Q3,1,Churned,Yes,1,90,5906,Attitude,Attitude of support person
4184-TJFAN,Q3,1,Churned,Yes,1,68,4486,Attitude,Attitude of support person
4145-UQXUQ,Q3,1,Churned,Yes,1,81,5662,Competitor,Competitor had better devices
1236-WFCDV,Q3,3,Churned,Yes,1,96,4777,Competitor,Competitor offered more data
1271-SJBGZ,Q3,1,Churned,Yes,1,74,2437,Competitor,Competitor had better devices
4441-NIHPT,Q3,1,Churned,Yes,1,90,2995,Competitor,Competitor had better devices
8999-BOHSE,Q3,2,Churned,Yes,1,89,2202,Attitude,Attitude of support person
7029-RPUAV,Q3,3,Churned,Yes,1,87,5508,Competitor,Competitor offered more data
8111-SLLHI,Q3,3,Churned,Yes,1,96,4687,Attitude,Attitude of support person
5293-WXJAK,Q3,3,Churned,Yes,1,82,4553,Competitor,Competitor offered more data
4086-YQSNZ,Q3,2,Churned,Yes,1,89,3834,Attitude,Attitude of service provider
8399-YNDCH,Q3,1,Churned,Yes,1,70,4716,Competitor,Competitor had better devices
5565-FILXA,Q3,2,Churned,Yes,1,96,5913,Other,Don't know
4187-CINZD,Q3,2,Churned,Yes,1,90,3180,Competitor,Competitor had better devices
6818-WOBHJ,Q3,1,Churned,Yes,1,69,5651,Competitor,Competitor had better devices
9134-CEQMF,Q3,2,Churned,Yes,1,89,3077,Dissatisfaction,Network reliability
8519-IMDHU,Q3,1,Churned,Yes,1,83,4981,Competitor,Competitor had better devices
3372-KWFBM,Q3,3,Churned,Yes,1,81,2508,Dissatisfaction,Network reliability
7206-GZCDC,Q3,2,Churned,Yes,1,75,4371,Attitude,Attitude of support person
1768-ZAIFU,Q3,1,Churned,Yes,1,67,5688,Competitor,Competitor made better offer
3793-MMFUH,Q3,1,Churned,Yes,1,90,2230,Competitor,Competitor made better offer
6567-HOOPW,Q3,3,Churned,Yes,1,76,4363,Competitor,Competitor made better offer
8621-MNIHH,Q3,1,Churned,Yes,1,88,3369,Competitor,Competitor had better devices
5419-CONWX,Q3,1,Churned,Yes,1,89,2268,Competitor,Competitor had better devices
7024-OHCCK,Q3,3,Churned,Yes,1,72,4193,Other,Poor expertise of online support
5357-TZHPP,Q3,2,Churned,Yes,1,83,5745,Attitude,Attitude of support person
0506-LVNGN,Q3,1,Churned,Yes,1,90,4028,Competitor,Competitor had better devices
9809-IMGCQ,Q3,1,Churned,Yes,1,93,4458,Competitor,Competitor made better offer
3254-YRILK,Q3,1,Churned,Yes,1,69,5683,Competitor,Competitor had better devices
0529-ONKER,Q3,3,Churned,Yes,1,96,2099,Attitude,Attitude of support person
5240-IJOQT,Q3,1,Churned,Yes,1,88,3348,Competitor,Competitor had better devices
0661-XEYAN,Q3,1,Churned,Yes,1,90,3884,Competitor,Competitor had better devices
2660-EMUBI,Q3,1,Churned,Yes,1,75,5353,Competitor,Competitor made better offer
7675-OZCZG,Q3,3,Churned,Yes,1,77,4145,Competitor,Competitor made better offer
9391-EOYLI,Q3,2,Churned,Yes,1,69,5374,Competitor,Competitor made better offer
2761-OCIAX,Q3,2,Churned,Yes,1,81,2803,Competitor,Competitor made better offer
3068-OMWZA,Q3,1,Churned,Yes,1,91,3106,Competitor,Competitor made better offer
4154-AQUGT,Q3,1,Churned,Yes,1,82,3861,Competitor,Competitor made better offer
8017-LXHFA,Q3,2,Churned,Yes,1,95,2740,Competitor,Competitor made better offer
4248-QPAVC,Q3,1,Churned,Yes,1,90,3209,Competitor,Competitor made better offer
4690-LLKUA,Q3,1,Churned,Yes,1,93,3797,Competitor,Competitor made better offer
9490-DFPMD,Q3,2,Churned,Yes,1,90,4871,Competitor,Competitor made better offer
8580-AECUZ,Q3,3,Churned,Yes,1,92,5001,Competitor,Competitor made better offer
5047-LHVLY,Q3,2,Churned,Yes,1,91,3438,Competitor,Competitor made better offer
8375-DKEBR,Q3,1,Churned,Yes,1,96,3438,Competitor,Competitor had better devices
7279-BUYWN,Q3,1,Churned,Yes,1,89,3380,Attitude,Attitude of support person
7156-MHUGY,Q3,1,Churned,Yes,1,76,5394,Competitor,Competitor had better devices
9606-PBKBQ,Q3,1,Churned,Yes,1,94,4584,Attitude,Attitude of support person
3536-IQCTX,Q3,1,Churned,Yes,1,75,2712,Competitor,Competitor had better devices
3132-TVFDZ,Q3,2,Churned,Yes,1,82,5172,Attitude,Attitude of support person
8080-DDEMJ,Q3,2,Churned,Yes,1,79,4499,Attitude,Attitude of support person
6702-OHFWR,Q3,3,Churned,Yes,1,91,4972,Other,Poor expertise of online support
4510-PYUSH,Q3,1,Churned,Yes,1,75,3110,Attitude,Attitude of support person
8840-DQLGN,Q3,1,Churned,Yes,1,81,4745,Attitude,Attitude of support person
4193-ORFCL,Q3,1,Churned,Yes,1,70,2740,Competitor,Competitor had better devices
7776-QWNFX,Q3,3,Churned,Yes,1,83,4795,Attitude,Attitude of support person
6689-TCZHQ,Q3,3,Churned,Yes,1,65,4054,Attitude,Attitude of support person
9497-QCMMS,Q3,1,Churned,Yes,1,81,5536,Competitor,Competitor made better offer
3424-NMNBO,Q3,1,Churned,Yes,1,91,4739,Competitor,Competitor made better offer
4514-GFCFI,Q3,2,Churned,Yes,1,91,5136,Attitude,Attitude of support person
8000-REIQB,Q3,2,Churned,Yes,1,94,3208,Competitor,Competitor made better offer
4795-KTRTH,Q3,1,Churned,Yes,1,91,4287,Competitor,Competitor made better offer
9961-JBNMK,Q3,1,Churned,Yes,1,87,4317,Dissatisfaction,Product dissatisfaction
6179-GJPSO,Q3,1,Churned,Yes,1,86,2833,Competitor,Competitor made better offer
8290-YWKHZ,Q3,3,Churned,Yes,1,90,5247,Competitor,Competitor made better offer
8051-HJRLT,Q3,3,Churned,Yes,1,82,2146,Attitude,Attitude of service provider
4021-RQSNY,Q3,3,Churned,Yes,1,72,5137,Attitude,Attitude of service provider
9061-TIHDA,Q3,1,Churned,Yes,1,90,2982,Competitor,Competitor had better devices
8699-ASUFO,Q3,3,Churned,Yes,1,96,4969,Attitude,Attitude of service provider
4695-WJZUE,Q3,1,Churned,Yes,1,80,3685,Competitor,Competitor had better devices
3988-RQIXO,Q3,3,Churned,Yes,1,71,2371,Attitude,Attitude of service provider
5931-FLJJF,Q3,2,Churned,Yes,1,83,3669,Attitude,Attitude of service provider
3207-OYBWH,Q3,2,Churned,Yes,1,86,6259,Attitude,Attitude of support person
7216-EWTRS,Q3,1,Churned,Yes,1,65,3128,Attitude,Attitude of service provider
2528-HFYZX,Q3,1,Churned,Yes,1,92,3266,Competitor,Competitor had better devices
4140-MUHUG,Q3,2,Churned,Yes,1,70,3561,Attitude,Attitude of service provider
1587-FKLZB,Q3,1,Churned,Yes,1,96,4479,Competitor,Competitor had better devices
5440-FLBQG,Q3,3,Churned,Yes,1,73,4708,Attitude,Attitude of service provider
2774-LVQUS,Q3,3,Churned,Yes,1,70,2596,Competitor,Competitor made better offer
4612-THJBS,Q3,3,Churned,Yes,1,93,5605,Attitude,Attitude of service provider
4094-NSEDU,Q3,2,Churned,Yes,1,73,4819,Competitor,Competitor made better offer
1846-XWOQN,Q3,2,Churned,Yes,1,71,2825,Competitor,Competitor made better offer
3757-NJYBX,Q3,2,Churned,Yes,1,65,4113,Other,Moved
9898-KZQDZ,Q3,1,Churned,Yes,1,95,5676,Competitor,Competitor had better devices
8263-JQAIK,Q3,3,Churned,Yes,1,77,5573,Competitor,Competitor offered more data
2205-YMZZJ,Q3,3,Churned,Yes,1,70,2015,Competitor,Competitor made better offer
1254-IZEYF,Q3,3,Churned,Yes,1,96,5362,Competitor,Competitor made better offer
9221-OTIVJ,Q3,1,Churned,Yes,1,86,2292,Dissatisfaction,Product dissatisfaction
5908-QMGOE,Q3,1,Churned,Yes,1,80,4553,Competitor,Competitor had better devices
0397-GZBBC,Q3,2,Churned,Yes,1,85,5390,Price,Price too high
7641-EUYET,Q3,1,Churned,Yes,1,72,5712,Dissatisfaction,Product dissatisfaction
8922-LIEGH,Q3,3,Churned,Yes,1,82,4078,Dissatisfaction,Poor expertise of online support
8245-UMPYT,Q3,3,Churned,Yes,1,80,2688,Dissatisfaction,Poor expertise of phone support
5186-SAMNZ,Q3,2,Churned,Yes,1,77,3273,Price,Price too high
5373-SFODM,Q3,2,Churned,Yes,1,82,3041,Dissatisfaction,Product dissatisfaction
0022-TCJCI,Q3,1,Churned,Yes,1,92,2654,Dissatisfaction,Limited range of services
5130-IEKQT,Q3,2,Churned,Yes,1,91,4283,Price,Price too high
3269-ATYWD,Q3,1,Churned,Yes,1,65,4892,Other,Don't know
0354-WYROK,Q3,2,Churned,Yes,1,91,4050,Other,Don't know
7576-OYWBN,Q3,1,Churned,Yes,1,67,2930,Competitor,Competitor had better devices
5539-TMZLF,Q3,1,Churned,Yes,1,69,5057,Competitor,Competitor had better devices
3336-JORSO,Q3,1,Churned,Yes,1,80,3401,Dissatisfaction,Product dissatisfaction
6861-XWTWQ,Q3,2,Churned,Yes,1,90,2487,Attitude,Attitude of support person
4283-FUTGF,Q3,3,Churned,Yes,1,65,3715,Dissatisfaction,Network reliability
2397-BRLOM,Q3,1,Churned,Yes,1,91,3443,Other,Don't know
8510-AWCXC,Q3,1,Churned,Yes,1,65,3269,Attitude,Attitude of support person
8225-BTJAU,Q3,1,Churned,Yes,1,87,3856,Competitor,Competitor had better devices
1724-BQUHA,Q3,2,Churned,Yes,1,66,2718,Attitude,Attitude of support person
4826-XTSOH,Q3,1,Churned,Yes,1,96,4843,Competitor,Competitor had better devices
2408-WITXK,Q3,1,Churned,Yes,1,92,3244,Other,Deceased
2634-HCZGT,Q3,1,Churned,Yes,1,77,5271,Other,Moved
7503-QQRVF,Q3,1,Churned,Yes,1,81,2076,Competitor,Competitor had better devices
0709-TVGUR,Q3,1,Churned,Yes,1,69,3145,Competitor,Competitor had better devices
3001-CBHLQ,Q3,1,Churned,Yes,1,79,3966,Attitude,Attitude of support person
4102-OQUPX,Q3,3,Churned,Yes,1,91,5429,Competitor,Competitor made better offer
3999-QGRJH,Q3,1,Churned,Yes,1,88,3068,Dissatisfaction,Product dissatisfaction
2454-RPBRZ,Q3,3,Churned,Yes,1,90,2709,Dissatisfaction,Service dissatisfaction
2265-CYWIV,Q3,1,Churned,Yes,1,77,4708,Dissatisfaction,Network reliability
4550-VBOFE,Q3,1,Churned,Yes,1,91,5005,Competitor,Competitor had better devices
7409-KIUTL,Q3,3,Churned,Yes,1,72,5345,Competitor,Competitor made better offer
1732-VHUBQ,Q3,3,Churned,Yes,1,82,4457,Competitor,Competitor made better offer
0679-IDSTG,Q3,1,Churned,Yes,1,87,4568,Competitor,Competitor had better devices
8802-UNOJF,Q3,1,Churned,Yes,1,78,5565,Competitor,Competitor had better devices
6313-GIDIT,Q3,2,Churned,Yes,1,65,6280,Price,Price too high
2845-AFFTX,Q3,1,Churned,Yes,1,76,4726,Dissatisfaction,Product dissatisfaction
2815-CPTUL,Q3,2,Churned,Yes,1,89,3684,Price,Price too high
1891-FZYSA,Q3,1,Churned,Yes,1,82,6363,Competitor,Competitor had better devices
9685-WKZGT,Q3,3,Churned,Yes,1,70,2075,Price,Extra data charges
6022-UGGSO,Q3,1,Churned,Yes,1,90,2091,Competitor,Competitor had better devices
3923-CSIHK,Q3,3,Churned,Yes,1,94,5746,Other,Poor expertise of online support
3677-IYRBF,Q3,1,Churned,Yes,1,90,4002,Attitude,Attitude of support person
8118-LSUEL,Q3,1,Churned,Yes,1,79,5507,Dissatisfaction,Product dissatisfaction
5277-ZLOOR,Q3,3,Churned,Yes,1,86,5512,Dissatisfaction,Network reliability
4248-HCETZ,Q3,3,Churned,Yes,1,73,2174,Attitude,Attitude of support person
9174-FKWZE,Q3,1,Churned,Yes,1,78,3848,Dissatisfaction,Limited range of services
5307-DZCVC,Q3,3,Churned,Yes,1,74,2431,Price,Extra data charges
8679-JOEVF,Q3,1,Churned,Yes,1,87,5556,Price,Price too high
4803-AXVYP,Q3,1,Churned,Yes,1,91,3474,Dissatisfaction,Service dissatisfaction
5649-ANRML,Q3,3,Churned,Yes,1,90,4486,Other,Poor expertise of online support
7395-IGJOS,Q3,2,Churned,Yes,1,79,3443,Competitor,Competitor made better offer
7890-VYYWG,Q3,1,Churned,Yes,1,89,3766,Competitor,Competitor had better devices
9907-SWKKF,Q3,1,Churned,Yes,1,65,4842,Competitor,Competitor had better devices
6397-JNZZG,Q3,1,Churned,Yes,1,85,2573,Competitor,Competitor had better devices
7779-LGOVN,Q3,1,Churned,Yes,1,84,4990,Dissatisfaction,Limited range of services
9710-ZUSHQ,Q3,1,Churned,Yes,1,92,5849,Price,Lack of affordable download/upload speed
3902-FOIGH,Q3,1,Churned,Yes,1,68,3967,Dissatisfaction,Product dissatisfaction
3318-OSATS,Q3,2,Churned,Yes,1,91,2080,Other,Don't know
2636-ALXXZ,Q3,2,Churned,Yes,1,74,2151,Dissatisfaction,Poor expertise of online support
9885-CSMWE,Q3,1,Churned,Yes,1,67,2139,Dissatisfaction,Product dissatisfaction
8058-JMEQO,Q3,3,Churned,Yes,1,95,3543,Competitor,Competitor made better offer
7657-DYEPJ,Q3,3,Churned,Yes,1,82,2645,Price,Lack of affordable download/upload speed
8276-MQBYC,Q3,2,Churned,Yes,1,81,6204,Price,Long distance charges
6015-VVHHE,Q3,3,Churned,Yes,1,96,2516,Dissatisfaction,Service dissatisfaction
2516-VQRRV,Q3,3,Churned,Yes,1,65,3350,Price,Long distance charges
7580-UGXNC,Q3,1,Churned,Yes,1,96,3016,Price,Extra data charges
5178-LMXOP,Q3,1,Churned,Yes,1,70,5795,Price,Price too high
7056-IMHCC,Q3,1,Churned,Yes,1,94,5884,Price,Price too high
8749-JMNKX,Q3,1,Churned,Yes,1,83,4788,Dissatisfaction,Limited range of services
0917-EZOLA,Q3,3,Churned,Yes,1,74,5925,Price,Extra data charges
8414-MYSHR,Q3,1,Churned,Yes,1,78,2834,Dissatisfaction,Network reliability
4988-IQIGL,Q3,3,Churned,Yes,1,92,4403,Attitude,Attitude of support person
4706-AXVKM,Q3,2,Churned,Yes,1,67,5118,Price,Extra data charges
5889-JTMUL,Q3,3,Churned,Yes,1,92,5863,Price,Price too high
9026-RNUJS,Q3,1,Churned,Yes,1,81,4618,Dissatisfaction,Product dissatisfaction
1624-NALOJ,Q3,1,Churned,Yes,1,88,2960,Other,Moved
6210-KBBPI,Q3,1,Churned,Yes,1,93,2313,Competitor,Competitor had better devices
2260-USTRB,Q3,1,Churned,Yes,1,67,2767,Competitor,Competitor offered more data
8623-TMRBY,Q3,2,Churned,Yes,1,74,6245,Competitor,Competitor offered more data
6900-PXRMS,Q3,1,Churned,Yes,1,91,3157,Dissatisfaction,Product dissatisfaction
3346-BRMIS,Q3,2,Churned,Yes,1,92,2167,Dissatisfaction,Service dissatisfaction
2722-JMONI,Q3,1,Churned,Yes,1,76,4989,Dissatisfaction,Limited range of services
7579-OOPEC,Q3,1,Churned,Yes,1,78,5461,Competitor,Competitor had better devices
1771-OADNZ,Q3,3,Churned,Yes,1,95,2151,Price,Extra data charges
0612-RTZZA,Q3,2,Churned,Yes,1,87,4628,Price,Price too high
4433-JCGCG,Q3,1,Churned,Yes,1,88,2436,Competitor,Competitor made better offer
9488-HGMJH,Q3,3,Churned,Yes,1,85,5287,Competitor,Competitor made better offer
4818-QIUFN,Q3,1,Churned,Yes,1,95,4997,Attitude,Attitude of support person
6961-VCPMC,Q3,3,Churned,Yes,1,75,4876,Competitor,Competitor offered more data
4424-TKOPW,Q3,1,Churned,Yes,1,70,4998,Price,Lack of affordable download/upload speed
4201-JMNGR,Q3,1,Churned,Yes,1,87,5527,Dissatisfaction,Service dissatisfaction
1866-RZZQS,Q3,1,Churned,Yes,1,91,2169,Competitor,Competitor had better devices
8631-NBHFZ,Q3,1,Churned,Yes,1,73,5910,Competitor,Competitor offered higher download speeds
4958-XCBDQ,Q3,3,Churned,Yes,1,92,3689,Competitor,Competitor offered more data
8337-UPOAQ,Q3,2,Churned,Yes,1,76,5124,Competitor,Competitor made better offer
6712-OAWRH,Q3,3,Churned,Yes,1,76,5154,Attitude,Attitude of support person
5914-DVBWJ,Q3,1,Churned,Yes,1,91,5145,Competitor,Competitor offered more data
8644-XLFBW,Q3,2,Churned,Yes,1,84,5674,Competitor,Competitor offered more data
1833-VGRUM,Q3,2,Churned,Yes,1,71,4684,Price,Price too high
8374-XGEJJ,Q3,1,Churned,Yes,1,87,3123,Dissatisfaction,Product dissatisfaction
6946-LMSQS,Q3,1,Churned,Yes,1,90,2673,Competitor,Competitor made better offer
4039-HEUNW,Q3,3,Churned,Yes,1,82,4652,Price,Lack of affordable download/upload speed
0812-WUPTB,Q3,2,Churned,Yes,1,69,3022,Price,Long distance charges
2403-BCASL,Q3,2,Churned,Yes,1,93,3711,Other,Don't know
3871-IKPYH,Q3,3,Churned,Yes,1,83,2767,Other,Moved
1304-NECVQ,Q3,2,Churned,Yes,1,92,5203,Competitor,Competitor made better offer
5655-JSMZM,Q3,2,Churned,Yes,1,74,5904,Attitude,Attitude of support person
4505-EXZHB,Q3,1,Churned,Yes,1,91,3964,Competitor,Competitor offered more data
8972-HJWNV,Q3,1,Churned,Yes,1,80,5245,Competitor,Competitor made better offer
2860-RANUS,Q3,1,Churned,Yes,1,75,3336,Price,Price too high
0406-BPDVR,Q3,2,Churned,Yes,1,68,6405,Price,Lack of affordable download/upload speed
5276-KQWHG,Q3,3,Churned,Yes,1,74,4596,Price,Extra data charges
9667-EQRXU,Q3,2,Churned,Yes,1,94,3016,Other,Don't know
0946-CLJTI,Q3,1,Churned,Yes,1,91,4662,Competitor,Competitor had better devices
0324-BRPCJ,Q3,1,Churned,Yes,1,70,4481,Competitor,Competitor offered more data
9189-JWSHV,Q3,2,Churned,Yes,1,91,4937,Price,Price too high
0576-WNXXC,Q3,1,Churned,Yes,1,75,2999,Dissatisfaction,Service dissatisfaction
5482-PLVPE,Q3,1,Churned,Yes,1,72,3278,Competitor,Competitor had better devices
4902-OHLSK,Q3,1,Churned,Yes,1,93,4235,Attitude,Attitude of support person
0495-ZBNGW,Q3,2,Churned,Yes,1,90,4324,Competitor,Competitor offered more data
2357-COQEK,Q3,2,Churned,Yes,1,78,4136,Competitor,Competitor made better offer
2034-CGRHZ,Q3,3,Churned,Yes,1,66,5245,Attitude,Attitude of support person
9360-AHGNL,Q3,2,Churned,Yes,1,69,5863,Dissatisfaction,Limited range of services
5485-WUYWF,Q3,1,Churned,Yes,1,87,4522,Price,Long distance charges
2632-UCGVD,Q3,2,Churned,Yes,1,72,4512,Price,Extra data charges
6425-YQLLO,Q3,2,Churned,Yes,1,86,6117,Other,Don't know
2091-RFFBA,Q3,1,Churned,Yes,1,75,2560,Attitude,Attitude of support person
6899-PPEEA,Q3,2,Churned,Yes,1,81,4448,Attitude,Attitude of service provider
4597-NUCQV,Q3,3,Churned,Yes,1,87,4287,Attitude,Attitude of support person
3754-DXMRT,Q3,2,Churned,Yes,1,86,5655,Attitude,Attitude of support person
7130-VTEWQ,Q3,3,Churned,Yes,1,92,4174,Competitor,Competitor offered more data
7903-CMPEY,Q3,1,Churned,Yes,1,87,4138,Competitor,Competitor had better devices
1704-NRWYE,Q3,2,Churned,Yes,1,71,5242,Attitude,Attitude of support person
7481-ATQQS,Q3,2,Churned,Yes,1,70,5651,Attitude,Attitude of support person
0023-HGHWL,Q3,3,Churned,Yes,1,85,5437,Competitor,Competitor made better offer
1792-UXAFY,Q3,1,Churned,Yes,1,89,5082,Dissatisfaction,Service dissatisfaction
6161-UUUTA,Q3,2,Churned,Yes,1,90,4367,Price,Price too high
6543-XRMYR,Q3,1,Churned,Yes,1,69,3548,Dissatisfaction,Product dissatisfaction
2479-BRAMR,Q3,1,Churned,Yes,1,71,4995,Competitor,Competitor offered more data
3714-JTVOV,Q3,1,Churned,Yes,1,94,2322,Attitude,Attitude of support person
8580-QVLOC,Q3,1,Churned,Yes,1,78,5697,Competitor,Competitor made better offer
2012-NWRPA,Q3,3,Churned,Yes,1,71,3172,Competitor,Competitor made better offer
8808-ELEHO,Q3,1,Churned,Yes,1,72,3812,Price,Price too high
9058-CBREO,Q3,1,Churned,Yes,1,95,3357,Dissatisfaction,Product dissatisfaction
8063-GBATB,Q3,1,Churned,Yes,1,80,5172,Competitor,Competitor had better devices
1069-XAIEM,Q3,1,Churned,Yes,1,96,2975,Competitor,Competitor had better devices
6987-XQSJT,Q3,1,Churned,Yes,1,78,5684,Attitude,Attitude of support person
0722-TROQR,Q3,1,Churned,Yes,1,78,2122,Price,Lack of affordable download/upload speed
6402-ZFPPI,Q3,1,Churned,Yes,1,94,4969,Price,Price too high
9965-YOKZB,Q3,1,Churned,Yes,1,71,3723,Dissatisfaction,Network reliability
0504-HHAPI,Q3,3,Churned,Yes,1,96,2420,Other,Don't know
3791-LGQCY,Q3,1,Churned,Yes,1,85,4803,Attitude,Attitude of support person
8166-ZZTFS,Q3,3,Churned,Yes,1,94,4400,Attitude,Attitude of support person
2956-GGUCQ,Q3,1,Churned,Yes,1,65,3079,Attitude,Attitude of service provider
2778-OCLGR,Q3,1,Churned,Yes,1,89,4591,Competitor,Competitor had better devices
7067-KSAZT,Q3,1,Churned,Yes,1,69,5965,Competitor,Competitor made better offer
9300-AGZNL,Q3,1,Churned,Yes,1,67,4176,Dissatisfaction,Product dissatisfaction
1112-CUNAO,Q3,2,Churned,Yes,1,91,2668,Dissatisfaction,Service dissatisfaction
3389-YGYAI,Q3,3,Churned,Yes,1,72,5546,Price,Price too high
3070-DVEYC,Q3,2,Churned,Yes,1,84,5638,Attitude,Attitude of support person
5707-ORNDZ,Q3,1,Churned,Yes,1,79,4656,Dissatisfaction,Network reliability
8696-JKZNU,Q3,3,Churned,Yes,1,91,5859,Other,Don't know
2055-PDADH,Q3,3,Churned,Yes,1,67,2491,Other,Don't know
